customer_id,email,first_name,last_name,signup_date,customer_segment,acquisition_channel,country,is_active
51,customer51@email.com,FirstName51,LastName51,2022-06-19,Standard,Referral,FR,False
52,customer52@email.com,FirstName52,LastName52,2023-03-10,Premium,Referral,AU,True
53,customer53@email.com,FirstName53,LastName53,2023-12-08,Premium,Social Media,DE,False
54,customer54@email.com,FirstName54,LastName54,2023-11-19,Basic,Social Media,DE,False
55,customer55@email.com,FirstName55,LastName55,2023-06-14,Standard,Organic,CA,True
56,customer56@email.com,FirstName56,LastName56,2022-08-19,Premium,Social Media,US,False
57,customer57@email.com,FirstName57,LastName57,2023-08-26,Basic,Paid Search,FR,True
58,customer58@email.com,FirstName58,LastName58,2022-08-14,Premium,Organic,AU,True
59,customer59@email.com,FirstName59,LastName59,2023-10-09,Premium,Paid Search,US,True
60,customer60@email.com,FirstName60,LastName60,2022-02-02,Standard,Organic,FR,True
61,customer61@email.com,FirstName61,LastName61,2022-09-01,Standard,Email,CA,True
62,customer62@email.com,FirstName62,LastName62,2023-07-07,Premium,Referral,FR,True
63,customer63@email.com,FirstName63,LastName63,2023-04-30,Premium,Email,DE,False
64,customer64@email.com,FirstName64,LastName64,2022-07-14,Premium,Organic,AU,True
65,customer65@email.com,FirstName65,LastName65,2023-03-18,Standard,Email,DE,True
66,customer66@email.com,FirstName66,LastName66,2023-04-24,Basic,Organic,AU,True
67,customer67@email.com,FirstName67,LastName67,2023-11-01,Basic,Organic,US,True
68,customer68@email.com,FirstName68,LastName68,2023-02-17,Basic,Social Media,US,False
69,customer69@email.com,FirstName69,LastName69,2022-09-12,Premium,Paid Search,FR,True
70,customer70@email.com,FirstName70,LastName70,2023-04-05,Premium,Email,CA,False
71,customer71@email.com,FirstName71,LastName71,2022-10-13,Standard,Paid Search,US,True
72,customer72@email.com,FirstName72,LastName72,2023-03-30,Basic,Organic,US,True
73,customer73@email.com,FirstName73,LastName73,2023-10-30,Basic,Organic,US,True
74,customer74@email.com,FirstName74,LastName74,2022-08-31,Premium,Email,DE,False
75,customer75@email.com,FirstName75,LastName75,2023-05-08,Premium,Email,US,True
76,customer76@email.com,FirstName76,LastName76,2022-06-18,Standard,Organic,DE,True
77,customer77@email.com,FirstName77,LastName77,2022-09-29,Standard,Social Media,DE,True
78,customer78@email.com,FirstName78,LastName78,2023-12-15,Basic,Referral,AU,True
79,customer79@email.com,FirstName79,LastName79,2023-05-14,Premium,Paid Search,UK,True
80,customer80@email.com,FirstName80,LastName80,2022-08-11,Premium,Referral,AU,True
81,customer81@email.com,FirstName81,LastName81,2023-07-10,Premium,Social Media,US,False
82,customer82@email.com,FirstName82,LastName82,2022-02-21,Basic,Email,FR,True
83,customer83@email.com,FirstName83,LastName83,2023-06-28,Premium,Organic,FR,True
84,customer84@email.com,FirstName84,LastName84,2022-03-24,Premium,Organic,FR,True
85,customer85@email.com,FirstName85,LastName85,2022-03-11,Basic,Paid Search,DE,True
86,customer86@email.com,FirstName86,LastName86,2022-05-03,Basic,Paid Search,FR,True
87,customer87@email.com,FirstName87,LastName87,2023-09-01,Premium,Referral,US,True
88,customer88@email.com,FirstName88,LastName88,2023-03-06,Basic,Referral,FR,True
89,customer89@email.com,FirstName89,LastName89,2023-06-20,Standard,Social Media,CA,False
90,customer90@email.com,FirstName90,LastName90,2023-11-17,Basic,Social Media,CA,True
91,customer91@email.com,FirstName91,LastName91,2022-09-29,Standard,Paid Search,AU,True
92,customer92@email.com,FirstName92,LastName92,2023-10-23,Standard,Email,UK,True
93,customer93@email.com,FirstName93,LastName93,2022-03-16,Premium,Email,FR,True
94,customer94@email.com,FirstName94,LastName94,2023-07-31,Premium,Organic,FR,True
95,customer95@email.com,FirstName95,LastName95,2022-08-07,Basic,Social Media,CA,True
96,customer96@email.com,FirstName96,LastName96,2022-12-24,Premium,Paid Search,UK,True
97,customer97@email.com,FirstName97,LastName97,2022-10-19,Premium,Email,FR,True
98,customer98@email.com,FirstName98,LastName98,2023-12-22,Standard,Referral,AU,True
99,customer99@email.com,FirstName99,LastName99,2023-06-26,Premium,Referral,UK,True
100,customer100@email.com,FirstName100,LastName100,2023-11-11,Premium,Paid Search,UK,True
101,customer101@email.com,FirstName101,LastName101,2022-04-29,Premium,Referral,CA,True
102,customer102@email.com,FirstName102,LastName102,2022-10-06,Standard,Referral,CA,True
103,customer103@email.com,FirstName103,LastName103,2022-12-18,Premium,Social Media,FR,True
104,customer104@email.com,FirstName104,LastName104,2023-05-16,Standard,Organic,US,True
105,customer105@email.com,FirstName105,LastName105,2023-10-12,Standard,Social Media,US,False
106,customer106@email.com,FirstName106,LastName106,2022-01-04,Standard,Paid Search,AU,True
107,customer107@email.com,FirstName107,LastName107,2022-09-26,Premium,Email,FR,True
108,customer108@email.com,FirstName108,LastName108,2023-12-24,Standard,Referral,US,True
109,customer109@email.com,FirstName109,LastName109,2022-04-25,Premium,Paid Search,FR,True
110,customer110@email.com,FirstName110,LastName110,2022-02-06,Standard,Referral,FR,True
111,customer111@email.com,FirstName111,LastName111,2022-06-01,Standard,Paid Search,US,True
112,customer112@email.com,FirstName112,LastName112,2022-11-12,Standard,Organic,UK,True
113,customer113@email.com,FirstName113,LastName113,2022-08-04,Basic,Paid Search,AU,False
114,customer114@email.com,FirstName114,LastName114,2022-04-16,Standard,Referral,DE,False
115,customer115@email.com,FirstName115,LastName115,2023-09-28,Basic,Paid Search,CA,True
116,customer116@email.com,FirstName116,LastName116,2022-06-16,Premium,Email,US,False
117,customer117@email.com,FirstName117,LastName117,2022-07-03,Basic,Social Media,DE,False
118,customer118@email.com,FirstName118,LastName118,2023-11-17,Basic,Paid Search,UK,True
119,customer119@email.com,FirstName119,LastName119,2022-06-13,Basic,Organic,DE,False
120,customer120@email.com,FirstName120,LastName120,2022-02-09,Standard,Paid Search,CA,True
121,customer121@email.com,FirstName121,LastName121,2023-04-17,Standard,Social Media,CA,False
122,customer122@email.com,FirstName122,LastName122,2022-08-17,Premium,Paid Search,DE,False
123,customer123@email.com,FirstName123,LastName123,2022-12-03,Standard,Organic,UK,True
124,customer124@email.com,FirstName124,LastName124,2022-12-26,Basic,Referral,DE,True
125,customer125@email.com,FirstName125,LastName125,2023-11-27,Basic,Social Media,US,True
126,customer126@email.com,FirstName126,LastName126,2022-04-29,Standard,Paid Search,FR,True
127,customer127@email.com,FirstName127,LastName127,2022-09-29,Premium,Organic,FR,False
128,customer128@email.com,FirstName128,LastName128,2023-03-21,Standard,Social Media,DE,False
129,customer129@email.com,FirstName129,LastName129,2023-09-13,Basic,Organic,DE,True
130,customer130@email.com,FirstName130,LastName130,2023-08-14,Premium,Social Media,US,True
131,customer131@email.com,FirstName131,LastName131,2023-12-27,Standard,Organic,FR,True
132,customer132@email.com,FirstName132,LastName132,2023-07-06,Basic,Paid Search,UK,True
133,customer133@email.com,FirstName133,LastName133,2023-03-18,Premium,Social Media,FR,True
134,customer134@email.com,FirstName134,LastName134,2022-11-18,Basic,Organic,AU,True
135,customer135@email.com,FirstName135,LastName135,2022-11-04,Basic,Social Media,AU,False
136,customer136@email.com,FirstName136,LastName136,2023-02-23,Standard,Email,AU,True
137,customer137@email.com,FirstName137,LastName137,2022-10-30,Basic,Paid Search,CA,True
138,customer138@email.com,FirstName138,LastName138,2023-03-07,Basic,Email,AU,True
139,customer139@email.com,FirstName139,LastName139,2022-06-28,Basic,Referral,UK,True
140,customer140@email.com,FirstName140,LastName140,2023-02-20,Basic,Organic,UK,False
141,customer141@email.com,FirstName141,LastName141,2022-10-21,Premium,Email,FR,False
142,customer142@email.com,FirstName142,LastName142,2023-09-14,Basic,Social Media,DE,True
143,customer143@email.com,FirstName143,LastName143,2023-03-29,Standard,Paid Search,FR,True
144,customer144@email.com,FirstName144,LastName144,2023-04-30,Basic,Paid Search,AU,True
145,customer145@email.com,FirstName145,LastName145,2022-03-28,Standard,Referral,AU,True
146,customer146@email.com,FirstName146,LastName146,2023-10-11,Basic,Social Media,US,True
147,customer147@email.com,FirstName147,LastName147,2022-08-29,Basic,Social Media,CA,True
148,customer148@email.com,FirstName148,LastName148,2022-07-23,Premium,Organic,US,True
149,customer149@email.com,FirstName149,LastName149,2022-09-08,Standard,Referral,US,True
150,customer150@email.com,FirstName150,LastName150,2023-04-12,Standard,Referral,CA,True
151,customer151@email.com,FirstName151,LastName151,2023-12-15,Standard,Email,DE,False
152,customer152@email.com,FirstName152,LastName152,2022-09-07,Premium,Organic,US,True
153,customer153@email.com,FirstName153,LastName153,2023-03-12,Premium,Paid Search,AU,True
154,customer154@email.com,FirstName154,LastName154,2023-06-15,Standard,Organic,FR,True
155,customer155@email.com,FirstName155,LastName155,2022-09-13,Premium,Email,CA,False
156,customer156@email.com,FirstName156,LastName156,2023-04-21,Basic,Referral,FR,True
157,customer157@email.com,FirstName157,LastName157,2023-09-02,Standard,Email,FR,True
158,customer158@email.com,FirstName158,LastName158,2023-06-01,Standard,Referral,DE,True
159,customer159@email.com,FirstName159,LastName159,2022-06-12,Basic,Email,DE,True
160,customer160@email.com,FirstName160,LastName160,2022-09-23,Premium,Social Media,FR,True
161,customer161@email.com,FirstName161,LastName161,2023-05-12,Basic,Paid Search,UK,True
162,customer162@email.com,FirstName162,LastName162,2023-03-27,Premium,Social Media,CA,True
163,customer163@email.com,FirstName163,LastName163,2022-10-06,Standard,Social Media,FR,True
164,customer164@email.com,FirstName164,LastName164,2022-03-24,Premium,Paid Search,CA,True
165,customer165@email.com,FirstName165,LastName165,2023-01-28,Basic,Paid Search,AU,True
166,customer166@email.com,FirstName166,LastName166,2022-08-08,Premium,Email,DE,False
167,customer167@email.com,FirstName167,LastName167,2022-12-05,Basic,Email,DE,True
168,customer168@email.com,FirstName168,LastName168,2022-03-05,Premium,Email,DE,True
169,customer169@email.com,FirstName169,LastName169,2023-08-22,Basic,Organic,FR,True
170,customer170@email.com,FirstName170,LastName170,2023-01-25,Standard,Organic,UK,True
171,customer171@email.com,FirstName171,LastName171,2022-11-02,Standard,Email,FR,True
172,customer172@email.com,FirstName172,LastName172,2023-07-14,Basic,Paid Search,DE,True
173,customer173@email.com,FirstName173,LastName173,2022-08-13,Standard,Email,DE,True
174,customer174@email.com,FirstName174,LastName174,2022-01-30,Standard,Social Media,AU,True
175,customer175@email.com,FirstName175,LastName175,2023-11-27,Standard,Paid Search,DE,True
176,customer176@email.com,FirstName176,LastName176,2022-05-11,Basic,Referral,US,True
177,customer177@email.com,FirstName177,LastName177,2023-02-08,Basic,Referral,AU,True
178,customer178@email.com,FirstName178,LastName178,2022-01-28,Premium,Email,CA,True
179,customer179@email.com,FirstName179,LastName179,2023-04-18,Premium,Organic,UK,False
180,customer180@email.com,FirstName180,LastName180,2023-01-24,Standard,Paid Search,DE,True
181,customer181@email.com,FirstName181,LastName181,2022-12-01,Standard,Email,UK,True
182,customer182@email.com,FirstName182,LastName182,2023-03-08,Standard,Organic,DE,True
183,customer183@email.com,FirstName183,LastName183,2022-01-20,Basic,Referral,US,False
184,customer184@email.com,FirstName184,LastName184,2022-12-25,Premium,Organic,AU,False
185,customer185@email.com,FirstName185,LastName185,2022-02-11,Premium,Paid Search,CA,True
186,customer186@email.com,FirstName186,LastName186,2022-01-21,Basic,Paid Search,CA,True
187,customer187@email.com,FirstName187,LastName187,2022-05-10,Standard,Organic,FR,False
188,customer188@email.com,FirstName188,LastName188,2022-08-12,Standard,Social Media,UK,True
189,customer189@email.com,FirstName189,LastName189,2022-06-21,Basic,Referral,AU,True
190,customer190@email.com,FirstName190,LastName190,2022-04-28,Premium,Social Media,US,True
191,customer191@email.com,FirstName191,LastName191,2023-08-16,Premium,Social Media,FR,True
192,customer192@email.com,FirstName192,LastName192,2023-11-25,Standard,Email,AU,False
193,customer193@email.com,FirstName193,LastName193,2022-07-23,Premium,Referral,AU,False
194,customer194@email.com,FirstName194,LastName194,2023-10-05,Premium,Organic,AU,True
195,customer195@email.com,FirstName195,LastName195,2022-11-05,Basic,Referral,US,True
196,customer196@email.com,FirstName196,LastName196,2023-08-03,Premium,Social Media,FR,True
197,customer197@email.com,FirstName197,LastName197,2023-03-15,Basic,Social Media,US,True
198,customer198@email.com,FirstName198,LastName198,2023-06-03,Basic,Social Media,US,False
199,customer199@email.com,FirstName199,LastName199,2023-03-07,Standard,Organic,DE,False
200,customer200@email.com,FirstName200,LastName200,2023-01-06,Basic,Email,AU,True
201,customer201@email.com,FirstName201,LastName201,2022-06-06,Standard,Paid Search,AU,True
202,customer202@email.com,FirstName202,LastName202,2023-06-19,Basic,Social Media,FR,True
203,customer203@email.com,FirstName203,LastName203,2023-07-06,Standard,Email,DE,True
204,customer204@email.com,FirstName204,LastName204,2023-08-30,Standard,Social Media,CA,False
205,customer205@email.com,FirstName205,LastName205,2022-03-30,Standard,Email,CA,True
206,customer206@email.com,FirstName206,LastName206,2023-04-21,Basic,Referral,AU,True
207,customer207@email.com,FirstName207,LastName207,2023-01-24,Standard,Organic,DE,True
208,customer208@email.com,FirstName208,LastName208,2022-11-29,Premium,Email,CA,True
209,customer209@email.com,FirstName209,LastName209,2022-12-30,Standard,Social Media,UK,True
210,customer210@email.com,FirstName210,LastName210,2023-09-03,Basic,Social Media,FR,True
211,customer211@email.com,FirstName211,LastName211,2022-01-11,Basic,Paid Search,US,True
212,customer212@email.com,FirstName212,LastName212,2022-09-05,Basic,Email,DE,True
213,customer213@email.com,FirstName213,LastName213,2023-07-23,Premium,Email,AU,True
214,customer214@email.com,FirstName214,LastName214,2023-12-30,Standard,Email,US,True
215,customer215@email.com,FirstName215,LastName215,2022-04-06,Standard,Paid Search,DE,True
216,customer216@email.com,FirstName216,LastName216,2023-12-10,Premium,Social Media,AU,True
217,customer217@email.com,FirstName217,LastName217,2023-08-19,Standard,Email,FR,True
218,customer218@email.com,FirstName218,LastName218,2023-06-28,Standard,Email,AU,True
219,customer219@email.com,FirstName219,LastName219,2023-07-18,Standard,Social Media,AU,True
220,customer220@email.com,FirstName220,LastName220,2023-04-10,Standard,Social Media,UK,False
221,customer221@email.com,FirstName221,LastName221,2022-08-25,Premium,Paid Search,UK,True
222,customer222@email.com,FirstName222,LastName222,2022-05-03,Basic,Referral,AU,True
223,customer223@email.com,FirstName223,LastName223,2022-07-09,Premium,Paid Search,AU,True
224,customer224@email.com,FirstName224,LastName224,2023-05-11,Standard,Referral,FR,True
225,customer225@email.com,FirstName225,LastName225,2023-09-04,Standard,Organic,CA,True
226,customer226@email.com,FirstName226,LastName226,2022-10-31,Premium,Social Media,CA,True
227,customer227@email.com,FirstName227,LastName227,2022-11-06,Premium,Referral,CA,False
228,customer228@email.com,FirstName228,LastName228,2022-10-08,Premium,Organic,FR,True
229,customer229@email.com,FirstName229,LastName229,2022-10-27,Basic,Paid Search,AU,False
230,customer230@email.com,FirstName230,LastName230,2023-05-18,Premium,Organic,FR,True
231,customer231@email.com,FirstName231,LastName231,2022-10-19,Standard,Email,DE,True
232,customer232@email.com,FirstName232,LastName232,2022-12-15,Premium,Organic,UK,True
233,customer233@email.com,FirstName233,LastName233,2023-05-05,Premium,Organic,DE,True
234,customer234@email.com,FirstName234,LastName234,2023-05-19,Premium,Referral,AU,True
235,customer235@email.com,FirstName235,LastName235,2023-12-04,Premium,Paid Search,CA,True
236,customer236@email.com,FirstName236,LastName236,2023-07-31,Standard,Organic,CA,True
237,customer237@email.com,FirstName237,LastName237,2022-05-02,Basic,Email,FR,True
238,customer238@email.com,FirstName238,LastName238,2023-09-03,Basic,Paid Search,FR,True
239,customer239@email.com,FirstName239,LastName239,2023-01-25,Standard,Email,UK,True
240,customer240@email.com,FirstName240,LastName240,2023-08-26,Standard,Social Media,FR,True
241,customer241@email.com,FirstName241,LastName241,2023-09-28,Premium,Referral,AU,False
242,customer242@email.com,FirstName242,LastName242,2022-04-12,Premium,Paid Search,UK,False
243,customer243@email.com,FirstName243,LastName243,2023-11-08,Premium,Paid Search,CA,False
244,customer244@email.com,FirstName244,LastName244,2022-06-27,Basic,Organic,CA,True
245,customer245@email.com,FirstName245,LastName245,2022-01-03,Standard,Email,AU,True
246,customer246@email.com,FirstName246,LastName246,2023-09-01,Standard,Social Media,US,False
247,customer247@email.com,FirstName247,LastName247,2022-08-26,Standard,Social Media,AU,True
248,customer248@email.com,FirstName248,LastName248,2023-04-10,Premium,Paid Search,UK,False
249,customer249@email.com,FirstName249,LastName249,2023-10-03,Basic,Paid Search,DE,False
250,customer250@email.com,FirstName250,LastName250,2022-04-28,Basic,Paid Search,AU,False
251,customer251@email.com,FirstName251,LastName251,2022-06-02,Standard,Paid Search,US,True
252,customer252@email.com,FirstName252,LastName252,2022-03-03,Premium,Social Media,FR,True
253,customer253@email.com,FirstName253,LastName253,2023-08-06,Standard,Email,US,False
254,customer254@email.com,FirstName254,LastName254,2023-04-25,Basic,Social Media,AU,True
255,customer255@email.com,FirstName255,LastName255,2023-02-17,Standard,Referral,FR,True
256,customer256@email.com,FirstName256,LastName256,2023-05-21,Standard,Organic,FR,True
257,customer257@email.com,FirstName257,LastName257,2022-02-10,Standard,Social Media,FR,False
258,customer258@email.com,FirstName258,LastName258,2022-09-14,Premium,Organic,CA,True
259,customer259@email.com,FirstName259,LastName259,2023-11-22,Basic,Referral,US,True
260,customer260@email.com,FirstName260,LastName260,2023-11-20,Standard,Referral,US,True
261,customer261@email.com,FirstName261,LastName261,2022-06-29,Standard,Referral,AU,True
262,customer262@email.com,FirstName262,LastName262,2023-03-29,Standard,Paid Search,FR,False
263,customer263@email.com,FirstName263,LastName263,2023-03-23,Basic,Email,US,True
264,customer264@email.com,FirstName264,LastName264,2023-04-27,Standard,Email,UK,True
265,customer265@email.com,FirstName265,LastName265,2022-11-25,Basic,Organic,CA,False
266,customer266@email.com,FirstName266,LastName266,2022-12-04,Standard,Email,UK,True
267,customer267@email.com,FirstName267,LastName267,2023-11-10,Standard,Referral,US,True
268,customer268@email.com,FirstName268,LastName268,2023-04-11,Premium,Social Media,UK,True
269,customer269@email.com,FirstName269,LastName269,2022-11-28,Premium,Email,FR,True
270,customer270@email.com,FirstName270,LastName270,2022-01-02,Basic,Referral,DE,True
271,customer271@email.com,FirstName271,LastName271,2023-02-28,Premium,Paid Search,FR,False
272,customer272@email.com,FirstName272,LastName272,2023-01-06,Basic,Email,AU,False
273,customer273@email.com,FirstName273,LastName273,2023-03-29,Premium,Paid Search,UK,False
274,customer274@email.com,FirstName274,LastName274,2023-07-17,Premium,Social Media,DE,False
275,customer275@email.com,FirstName275,LastName275,2023-12-17,Standard,Organic,US,True
276,customer276@email.com,FirstName276,LastName276,2023-10-08,Basic,Paid Search,AU,True
277,customer277@email.com,FirstName277,LastName277,2022-06-12,Standard,Referral,US,True
278,customer278@email.com,FirstName278,LastName278,2023-07-20,Standard,Organic,CA,True
279,customer279@email.com,FirstName279,LastName279,2022-04-27,Standard,Organic,AU,True
280,customer280@email.com,FirstName280,LastName280,2022-06-07,Standard,Social Media,FR,True
281,customer281@email.com,FirstName281,LastName281,2023-12-24,Standard,Email,DE,False
282,customer282@email.com,FirstName282,LastName282,2023-04-29,Premium,Email,FR,True
283,customer283@email.com,FirstName283,LastName283,2022-05-29,Standard,Paid Search,FR,True
284,customer284@email.com,FirstName284,LastName284,2023-06-05,Basic,Paid Search,US,True
285,customer285@email.com,FirstName285,LastName285,2022-10-10,Standard,Social Media,FR,True
286,customer286@email.com,FirstName286,LastName286,2022-10-01,Premium,Social Media,AU,True
287,customer287@email.com,FirstName287,LastName287,2022-11-02,Basic,Referral,AU,True
288,customer288@email.com,FirstName288,LastName288,2023-05-17,Premium,Email,FR,True
289,customer289@email.com,FirstName289,LastName289,2023-05-11,Standard,Social Media,FR,True
290,customer290@email.com,FirstName290,LastName290,2023-07-11,Standard,Email,UK,True
291,customer291@email.com,FirstName291,LastName291,2022-07-13,Basic,Paid Search,FR,True
292,customer292@email.com,FirstName292,LastName292,2023-01-28,Premium,Email,US,True
293,customer293@email.com,FirstName293,LastName293,2022-11-22,Basic,Email,AU,False
294,customer294@email.com,FirstName294,LastName294,2023-01-26,Standard,Paid Search,DE,True
295,customer295@email.com,FirstName295,LastName295,2022-02-07,Premium,Referral,FR,True
296,customer296@email.com,FirstName296,LastName296,2022-12-06,Premium,Email,US,True
297,customer297@email.com,FirstName297,LastName297,2023-06-23,Standard,Organic,AU,True
298,customer298@email.com,FirstName298,LastName298,2022-05-28,Standard,Paid Search,US,True
299,customer299@email.com,FirstName299,LastName299,2023-04-26,Standard,Social Media,FR,True
300,customer300@email.com,FirstName300,LastName300,2023-12-11,Standard,Organic,UK,True
301,customer301@email.com,FirstName301,LastName301,2023-11-22,Basic,Email,UK,True
302,customer302@email.com,FirstName302,LastName302,2023-10-04,Basic,Email,FR,True
303,customer303@email.com,FirstName303,LastName303,2022-02-06,Basic,Organic,CA,True
304,customer304@email.com,FirstName304,LastName304,2023-10-09,Basic,Social Media,CA,True
305,customer305@email.com,FirstName305,LastName305,2022-04-03,Standard,Organic,AU,True
306,customer306@email.com,FirstName306,LastName306,2023-12-22,Premium,Email,CA,False
307,customer307@email.com,FirstName307,LastName307,2023-12-12,Standard,Organic,US,True
308,customer308@email.com,FirstName308,LastName308,2022-11-29,Premium,Social Media,UK,True
309,customer309@email.com,FirstName309,LastName309,2023-01-19,Standard,Paid Search,CA,True
310,customer310@email.com,FirstName310,LastName310,2023-06-28,Standard,Referral,AU,True
311,customer311@email.com,FirstName311,LastName311,2022-07-04,Premium,Paid Search,US,True
312,customer312@email.com,FirstName312,LastName312,2023-09-17,Standard,Referral,AU,True
313,customer313@email.com,FirstName313,LastName313,2022-09-04,Standard,Referral,CA,True
314,customer314@email.com,FirstName314,LastName314,2022-08-26,Standard,Social Media,DE,False
315,customer315@email.com,FirstName315,LastName315,2022-09-19,Basic,Organic,DE,False
316,customer316@email.com,FirstName316,LastName316,2022-10-22,Basic,Referral,CA,True
317,customer317@email.com,FirstName317,LastName317,2022-03-17,Standard,Social Media,FR,True
318,customer318@email.com,FirstName318,LastName318,2022-11-03,Basic,Email,AU,True
319,customer319@email.com,FirstName319,LastName319,2022-09-14,Standard,Social Media,CA,True
320,customer320@email.com,FirstName320,LastName320,2023-01-29,Standard,Organic,CA,True
321,customer321@email.com,FirstName321,LastName321,2023-01-26,Basic,Social Media,FR,True
322,customer322@email.com,FirstName322,LastName322,2022-10-30,Basic,Social Media,US,True
323,customer323@email.com,FirstName323,LastName323,2023-11-06,Standard,Social Media,US,True
324,customer324@email.com,FirstName324,LastName324,2023-08-03,Basic,Organic,FR,True
325,customer325@email.com,FirstName325,LastName325,2023-05-24,Standard,Paid Search,FR,False
326,customer326@email.com,FirstName326,LastName326,2022-12-27,Premium,Paid Search,FR,True
327,customer327@email.com,FirstName327,LastName327,2022-09-14,Basic,Paid Search,AU,True
328,customer328@email.com,FirstName328,LastName328,2022-04-10,Basic,Organic,UK,True
329,customer329@email.com,FirstName329,LastName329,2023-03-28,Premium,Referral,UK,True
330,customer330@email.com,FirstName330,LastName330,2022-05-15,Premium,Social Media,UK,True
331,customer331@email.com,FirstName331,LastName331,2023-03-02,Premium,Paid Search,CA,True
332,customer332@email.com,FirstName332,LastName332,2023-07-07,Standard,Referral,FR,True
333,customer333@email.com,FirstName333,LastName333,2022-10-07,Premium,Social Media,DE,True
334,customer334@email.com,FirstName334,LastName334,2022-10-30,Basic,Social Media,US,True
335,customer335@email.com,FirstName335,LastName335,2023-04-25,Premium,Paid Search,CA,True
336,customer336@email.com,FirstName336,LastName336,2023-11-24,Basic,Email,FR,True
337,customer337@email.com,FirstName337,LastName337,2023-01-10,Premium,Email,US,False
